Poste,Date de Soumission,État,Lien,Date de réponse,CV utilisé,Entreprise,Mois,Catégorie Poste,Catégorie Poste (LLM),Offre (texte),Compétences (LLM),airflow,aws,azure,bigquery,computer vision,databricks,dbt,docker,excel,gcp,git,hadoop,jenkins,kafka,keras,kubernetes,lightgbm,looker,metabase,mlflow,mongodb,nlp,pandas,postgres,power bi,python,pytorch,redshift,scikit-learn,snowflake,spark,sql,tableau,tensorflow
Data Analyst Environnement,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/inex-circular/jobs/data-analyst-environnement-cdi_paris_IC_y4Y4m9Z,,CV2,Inex Circular,7.0,Data Analyst,Data Analyst,"Cette offre n’est plus disponible. Résumé du poste CDI Paris Télétravail fréquent Salaire : Non spécifié Début : 30 septembre 2025 Expérience : > 1 an Éducation : Bac +5 / Master Compétences & expertises Contrôle qualité Travail d'équipe Méthodologies Agile Github Mongodb +5 Questions et réponses sur l'offre Tu rejoins notre équipe Data composée de 5 personnes, en tant que Data Analyst Environnement. Ton rôle est de produire les données environnementales stratégiques que nous vendons à nos clients. L’équipe Data regroupe des data analysts, data engineers et data scientists, et fait partie du pôle Produit. iNex produit essentiellement des données géospatiales pour les industriels du recyclage, de l’énergie renouvelable et du BTP. Le « terrain de jeu » est vaste et à très fort potentiel : en France, en Europe, ainsi que dans plusieurs pays du monde (USA, Inde…). Ton rôle est essentiel : identifier, comprendre, structurer, enrichir et intégrer les données qui alimentent notre outil et nos analyses stratégiques. Ces analyses sont directement utilisées par nos clients pour décider de la construction d’un méthaniseur, d’un parc solaire ou d’une nouvelle installation de recyclage. Tu auras donc un impact direct sur la satisfaction client, même en tant que junior ! Tu ne vas pas simplement « analyser des données ». Ton travail consiste à : Explorer des sources d’information (publiques ou privées) : bases de données, publications, rapports, données ouvertes… Identifier de nouvelles données utiles et comprendre leur potentiel Préparer, structurer et intégrer ces données dans nos outils internes via des scripts Python que tu rédigeras Travailler en lien étroit avec les CSM et les Data Engineers pour améliorer la qualité des analyses fournies à nos clients Contrôler la qualité des jeux de données utilisés Proposer des pistes pour améliorer nos méthodes et nos outils Tu seras particulièrement amené·e à manipuler deux grandes familles de données : Données économiques : localisation d’entreprises, activité, effectifs… Données géospatiales : calques environnementaux, fonciers, réglementaires. Pas besoin d’avoir une expertise sur ces sujets — c’est un terrain d’apprentissage passionnant ! Pas besoin d’avoir fait 5 ans de data science ou d’ingénierie pour nous intéresser. Ce qu’on cherche surtout, c’est une personne : Diplômée d’une école d’ingénieur Curieuse, rigoureuse et dotée d’un vrai esprit d’analyse Capable de synthétiser des informations complexes À l’aise avec la recherche documentaire et l’investigation Prête à challenger les raisonnements existants, avec l’envie de progresser en tenant compte des feedbacks Avec une première expérience professionnelle (>1 an) Côté outils : Tu maîtrises Python et tu es motivé·e pour progresser - On utilise des librairies externes (pandas, pymongo, streamlit) — si tu les maîtrises, c’est un vrai plus Tu connais Excel et tu sais t’en servir pour structurer l’information Tu as déjà entendu parler de MongoDB Découvrir le fonctionnement d’Airflow et les autres specs techniques d’iNex te motive Une équipe expérimentée et bienveillante Un impact concret et immédiat sur des projets environnementaux réels Un accompagnement dans ta montée en compétences (1h de formation dédiée par semaine) Un cadre de travail stimulant et flexible Et aussi : Package attractif (fixe + BSPCE) Tickets resto (Swile) & 50 % du transport pris en charge (ou forfait vélo) 2 jours de télétravail par semaine (après onboarding) 2 semaines de RTT Mutuelle Alan Chaque jour, l’équipe imagine et met en place de nouveaux méthodes : https://medium.com/inex-blog. On s’organise en sprint (Scrum) de 2 semaines à l’aide d’outils collaboratifs de gestion de projets (Asana, GitHub, Slite). - Pré-entretien - Test technique - Entretien technique - Entretien final Ces entreprises recrutent aussi au poste de “Données/Business Intelligence”. Data Analyst Environnement [CDI] Inex CircularCDIParisTélétravail fréquentSocialTech / GreenTech16 collaborateursProduct Data Analyst EvaneosCDIParisTélétravail fréquentSalaire : 55K à 58K €Tourisme, SocialTech / GreenTech180 collaborateursExpert (H/F) en science des données et modélisation appliqués aux bioprocédés SUEZCDICroissy-sur-SeineEnvironnement / Développement durable, SocialTech / GreenTech40 000 collaborateursSenior AI Engineer SweepCDIParisTélétravail fréquentSalaire : 65K à 75K €Environnement / Développement durable, SaaS / Cloud Services170 collaborateursData Scientist VizziaCDIParisTélétravail fréquentSaaS / Cloud Services, Objets connectés29 collaborateurs","['airflow', 'excel', 'mongodb', 'pandas', 'python']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Engineer Junior,2025-07-31,Candidature envoyée,https://apply.workable.com/singulier/j/C258FD86BC/?utm_source=linkedin.com,,CV2,Singulier,7.0,Data Engineer,Data Engineer,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/arcep/jobs/data-analyst-f-h_paris-cedex-12,,CV2,ARCEP,7.0,Data Analyst,Data Analyst,"Résumé du poste CDD / Temporaire(36 mois) Paris Télétravail occasionnel Salaire : Non spécifié Début : 30 septembre 2025 Éducation : Bac +5 / Master Compétences & expertises Excel Powerpoint Python Questions et réponses sur l'offre Vous conduisez la mise en œuvre des enquêtes statistiques sur l’activité des opérateurs de communications électroniques et postaux, l’évolution des prix des services fixes et mobiles. Vous vérifiez la cohérence et le degré d’exhaustivité des informations collectées auprès des opérateurs, rédigez les publications statistiques et présentez les résultats aux acteurs du secteur et au collège de l’Arcep. Vous participez aux groupes de travail statistiques associant les opérateurs au déroulement des enquêtes et développez de nombreux contacts, tant en interne qu’à l’extérieur avec les opérateurs ou d’autres institutions. Vous pouvez être associé au recueil d’informations et aux études externes à caractère statistique : rédaction de cahier des charges, suivi du déroulement des études, analyse des données… Votre expertise peut également être mise à profit pour l’exploitation de données provenant d’autres sources, notamment le cadre des interactions de l’unité avec les autres directions. Vous participez à la rédaction de notes pour répondre aux demandes courantes sur les données de l’observatoire. Vous participez aux travaux avec les institutions internationales (autres régulateurs, Berec, Grep, Commission européenne). Des déplacements ponctuels sont à prévoir. Formation supérieure en statistiques (ENSAE, ENSAI, Master 2, école d’ingénieur ou de commerce…) Vous maîtrisez les logiciels de bureautique (Excel, Word, Powerpoint) ainsi que les logiciels de programmation statistique Python et R Vous démontrez une aisance dans la rédaction des commentaires relatifs aux informations statistiques et économiques et la présentation de documents complexes à l’écrit comme à l’oral, en français ainsi qu’en anglais Vous avez une appétence pour le développement de programmes informatiques pour l’analyse et la visualisation des données et êtes familier avec l’utilisation d’outils d’intelligence artificielle pour réaliser les travaux. Vous disposez de compétences en économétrie Vos atouts : autonomie, réactivité, rigueur, organisation, respect des délais Ces entreprises recrutent aussi au poste de “Data / Business Intelligence”. EIG CPO Fichiers à la Suite Numérique Direction interministérielle du numérique (DINUM) – Service du Premier ministreCDD / TemporaireParisTélétravail fréquentAdministration publique234 collaborateursData scientist H/F VIGINUMCDD / TemporaireParisTélétravail occasionnelAdministration publique45 collaborateursADMINISTRATEUR DE DONNEES F/H Civils de la Défense - Ministère des ArméesCDD / TemporaireParisTélétravail occasionnelIT / Digital, Cybersécurité62 000 collaborateursGestionnaire de données GED ResahCDD / TemporaireParisTélétravail occasionnelStratégie, Santé200 collaborateurs","['excel', 'python']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Data scientist,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/viginum/jobs/data-scientist-h-f_paris_VIGIN_JXMLeyG,,CV2,Viginum,7.0,Data Scientist,Data Scientist,"Résumé du poste CDD / Temporaire(36 mois) Paris Télétravail occasionnel Salaire : Non spécifié Expérience : > 2 ans Éducation : Bac +5 / Master Compétences & expertises Collecte et analyse de données Compétences en communication Plotly Scikit learn Git +4 Questions et réponses sur l'offre La division « Opérations » est composée d’un bureau « acteurs et menaces » regroupant des analystes géopolitiques et OSINT et d’un bureau « technique » (TechOps) avec trois missions principales : la mise en place et le maintien de l’infrastructure informatique de la DivOps ; la capitalisation des connaissances du service ; la collecte et l’analyse des données en source ouverte. Au sein du bureau TechOps, les ingénieur(e)s data et les data scientists travaillent de manière resserrée au sein du datalab. Directement rattaché(e) au datalab au sein du bureau TechOps, le/la data scientist aura les missions suivantes Appuyer les analystes du bureau acteurs et menaces pour collecter et analyser des données en source ouverte provenant notamment des plateformes de réseaux sociaux pour mettre en évidence des phénomènes inauthentiques (contenus artificiels, détection de bots, détection de coordination, etc.) ; Développer des outils pour permettre aux analystes de mener des analyses de données en autonomie ; Développer et metre en place de nouvelles méthodologies pour détecter et caractériser des comportements ou des contenus inauthentiques en s’appuyant notamment sur les développements récents en sciences des données et en IA ; Contribuer à la « code base » du datalab ; Participer à la valorisation des travaux du datalab et du service (présentations, conférences, etc). Issu(e) d’une formation de niveau Bac +5 ou équivalent ou d’un doctorat, le ou la candidat(e) devra justifier d’au moins 2 années d’expérience en tant que data scientist. Les compétences suivantes sont requises pour le poste visé : Connaissances approfondies en statistiques, en machine learning et en visualisation de données ainsi qu’une spécialisation dans un domaine (computer vision, NLP, analyse de graphe, etc.) ; Maîtrise de Python et des librairies d’analyse, de traitement de données (Pandas, Polars, Scikit Learn) et de visualisation de données (Seaborn, Plotly, etc.) ; Capacité à comprendre les besoins d’interlocuteurs non techniques (analystes géopolitiques) et à leur présenter les résultats ; Maîtrise des bonnes pratiques de programmation (git, code review, tests unitaires, etc.). Dû au contexte technique en permanente évolution et à la variété des missions, le/la futur(e) data scientist devra faire preuve d’autonomie et de curiosité technique. Le ou la candidat(e) sera encouragé(e) à suivre des formations et participer à des conférences lors de son parcours professionnel. Une faculté à prendre des décisions ainsi qu’un sens aigu des relations humaines font partie des qualités nécessaires pour exercer cette fonction. La mission nécessite également rigueur, disponibilité, discrétion ainsi qu’une bonne faculté d’écoute. Des compétences supplémentaires seront valorisées : un intérêt pour l’OSINT, la capacité à développer une API (Fastapi, Litestar) ou une interface utilisateur (Streamlit, Dash, etc.), l’utilisation du Docker, ou une contribution à un projet en open source. Chez VIGINUM, nous croyons que la diversité est une force. Nous nous engageons à créer un environnement inclusif où chaque voix compte. Nous valorisons les différences et les expériences uniques de chacun. Rejoignez-nous et formez une équipe dynamique et variée. Ces entreprises recrutent aussi au poste de “Données/Business Intelligence”. EIG CPO Fichiers à la Suite Numérique Direction interministérielle du numérique (DINUM) – Service du Premier ministreCDD / TemporaireParisTélétravail fréquentAdministration publique234 collaborateursData analyst (F/H) ArcepCDD / TemporaireParisTélétravail occasionnelAdministration publique185 collaborateursADMINISTRATEUR DE DONNEES F/H Civils de la Défense - Ministère des ArméesCDD / TemporaireParisTélétravail occasionnelIT / Digital, Cybersécurité62 000 collaborateursGestionnaire de données GED ResahCDD / TemporaireParisTélétravail occasionnelStratégie, Santé200 collaborateurs","['computer vision', 'docker', 'git', 'nlp', 'pandas', 'python']",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Data Scientist - Artifical Intelligence Project (F/H) - CDD de 8 mois,2025-07-31,Refus,https://ekez.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/fr/sites/CX/job/17590?utm_medium=jobboard&utm_source=welcome_to_the_jungle,2025-08-01,CV2,Natixis,7.0,Data Scientist,Data Scientist,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Quality Specialist, AI Tutor - Paris (Fixed term)",2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/data-quality-specialist-ai-tutor-paris-fixed-term_paris,,CV2,Mistral AI,7.0,Autre,Autre,"CDD / Temporaire Paris Télétravail total Salaire : Non spécifié Questions et réponses sur l'offre About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life. We democratize AI through high-performance, optimized, open-source and cutting-edge models, products and solutions. Our comprehensive AI platform is designed to meet enterprise needs, whether on-premises or in cloud environments. Our offerings include le Chat, the AI assistant for life and work. We are a dynamic, collaborative team passionate about AI and its potential to transform society. Our diverse workforce thrives in competitive environments and is committed to driving innovation. Our teams are distributed between France, USA, UK, Germany and Singapore. We are creative, low-ego and team-spirited. Join us to be part of a pioneering company shaping the future of AI. Together, we can make a meaningful impact. See more about our culture on https://mistral.ai/careers. Role Summary: Ensure exceptional data quality and integrity by performing final audits, validating received data, and driving continuous improvement in our annotation processes. Job Title: Data Quality Specialist (AI Tutor) Location: Paris (possible remote work) Duration: 6-month fixed-term contract Reporting to: Data Annotation Technical Program Manager Key Responsibilities: -Data Auditing & Validation: Conduct final quality audits before data integration into the reward model. Verify the quality of data received from providers and ensure adherence to guidelines. -Accuracy & Consistency: Check the accuracy of answers, appropriateness of comments, and overall usefulness of data. -Beta Testing & Project Development: Participate in beta testing and contribute to project development initiatives. Error Correction: Scrutinize and rectify any data inaccuracies, maintaining the highest standard of data accuracy. -Guideline Compliance: Ensure annotation teams follow established guidelines and provide feedback as necessary. -Process Optimization: Identify and recommend opportunities to improve data quality and model performance. -Cross-Functional Collaboration: Communicate effectively and provide feedback to team members across different functions. -Detail-Oriented Tasks: Maintain meticulous attention to detail while performing repetitive and precise tasks. -Project Leadership: Lead prompt evaluation tasks, including creating task guidelines, FAQs, and addressing questions from the annotator team. Qualifications & Profile: -Education & Experience: Relevant academic background and proven experience in data annotation and using annotation tools. -Language Skills: Expert reading and writing skills, with the ability to pass a written test. Multilingual capabilities are an asset. -Attention to Detail: Strong commitment to accuracy and a high tolerance for repetitive tasks. -Independent Worker: Ability to follow complex instructions, navigate ambiguity, and work independently. -Time Management: Superb sense of urgency and excellent time management skills. -Process-Driven & Organized: Rigorous, process-driven, and well-structured approach to work. Now, it would be ideal if you have : -Previous hands-on experience as a data annotator. -Fluency in multiple languages. Hiring Process: -Hiring Manager Call: 20 minutes -Take-Home Session: 45 minutes -Peer Interview: 30 minutes Apply now to bring your data expertise to our dynamic team! Ces entreprises recrutent aussi au poste de “Data / Business Intelligence”. AI Scientist - Paris (Internship Phd) Mistral AiCDD / TemporaireParisTélétravail non autoriséIntelligence artificielle / Machine Learning, IT / Digital280 collaborateursData Engineer F/H AP-HP - Direction des Services Numériques (DSN)CDD / TemporaireParisTélétravail fréquentSalaire : 45K à 70K €Intelligence artificielle / Machine Learning, Big Data570 collaborateursIngénieure / Ingénieur en Intelligence Artificielle H/F IDRIS (CNRS)CDD / TemporaireOrsayTélétravail fréquentSalaire : 3,7K à 4,3K € par moisIntelligence artificielle / Machine Learning, Administration scolaire et universitaire50 collaborateurs",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDI - Data Analyst - Petit Bateau !,2025-07-31,Candidature envoyée,https://www.linkedin.com/jobs/view/4274098673/?trackingId=wcRb8UN8HA36HegkAKmh8g%3D%3D&refId=ByteString%28length%3D16%2Cbytes%3Deff4dac8...51d36b3d%29&midToken=AQF6cDKQRpkL-Q&midSig=206-DBIVMD3HU1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114-null-5mjdi4~mdraxyrq~40-null-null&eid=5mjdi4-mdraxyrq-40&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDMxZGVlYjI4ZmM5ZDU0NTlhYTc4NzYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGY4Y2FhMTRjNGMwZjY3Zjg4NmNiNDMxMDQ5Yjc0YmQ0ZjJjNDQwMTg2N2VmODlmY2IsMSwx,,CV2,Petit Bateau,7.0,Data Analyst,Data Analyst,"We're signing you in Discover people, jobs, and more. If you remain on this page, you'll be signed in. Learn more Discover people, jobs, and more. If you remain on this page, you'll be signed in. Learn more",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assistant Gestion Référentiels et Outils H/F,2025-07-31,Candidature envoyée,https://jobs.totalenergies.com/en_US/careers/ApplicationMethods?jobId=69339&source=Welcome+To+The+Jungle#,,CV2,Total Energies,7.0,Autre,Autre,- Data Privacy1/4 - Personal Information2/4 - Accept & Submit3/4 Already a user? First time around? - From Device Upload CV file - Copy & Paste Paste CV - Without Resume Upload CV later - Upload CV from LinkedIn,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gestionnaire de données GED,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/resah/jobs/stagiaire-accompagnement-a-la-reprise-de-donnees-d-une-ged-sharepoint_paris,,CV3,RESAH,7.0,Autre,Autre,"CDD / Temporaire(1 à 3 mois) Paris Télétravail occasionnel Salaire : Non spécifié Questions et réponses sur l'offre Dans le cadre de la modernisation de ses outils numériques, le Resah (Réseau des Acheteurs Hospitaliers) déploie une nouvelle solution de GED basée sur SharePoint. Le projet vise à centraliser, fiabiliser et structurer les documents métiers (contrats, dossiers marchés, offres fournisseurs, documents administratifs, etc.), tout en facilitant leur accessibilité et leur partage sécurisé. Un volume de plus de 1 To de documents (issus de disques partagés, outils métiers et anciennes arborescences GED) doit être repris et migré vers la nouvelle plateforme. Cela s’inscrit dans un projet stratégique, au carrefour des enjeux SI, gestion documentaire, conformité réglementaire et métiers achats. Missions principales Contribuer à l’élaboration du plan de reprise de données : mapping des données, règles de migration, gestion des doublons, nettoyage Participer au nettoyage, à la préparation et à l’enrichissement des métadonnées associées aux documents Assurer un reporting sur l’alimentation du GED et la migration des fichiers Formation Bac +2 à Bac +3 en gestion documentaire, gestion de l’information numérique, archivistique, gestion de projet SI, ou cursus proche Intérêt pour les environnements complexes (secteur public, achats hospitaliers) Compétences requises / à développer Sensibilité forte à la gestion documentaire et à la qualité de l’information Notions de base sur les systèmes de GED (idéalement SharePoint ou solutions équivalentes) Intérêt pour les projets SI et la transformation numérique Maîtrise des outils bureautiques (Excel avancé apprécié) Rigueur, sens du détail, capacité d’analyse Aisance relationnelle pour travailler en transversal avec les équipes métier et SI Esprit de synthèse et capacité à formaliser les actions menées Un premier entretien RH Un second entretien opérationnel",['excel'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDD - Analyste Surveillance des Engagements F/H,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/la-banque-postale/jobs/cdd-analyste-surveillance-des-engagements-f-h_paris-15e-arrondissement,,CV3,La Banque Postale,7.0,Data Analyst,Data Analyst,"CDD / Temporaire(6 mois) Paris Télétravail fréquent Salaire : Non spécifié Début : 15 juillet 2025 Expérience : > 2 ans Éducation : Bac +5 / Master Questions et réponses sur l'offre Vous partagez nos convictions ? Vous avez envie de rejoindre une équipe dynamique et d'évoluer dans un environnement bienveillant ? Venez travailler à la Direction des risques Groupe de La Banque Postale où vous mettrez vos talents au service de nos objectifs. Parmi nos missions au quotidien : 1) Piloter la Surveillance du risque de crédit : - Extraire les données pertinentes pour réaliser une analyse selon le besoin (par segmentation, par faits générateurs de risques…) - Veiller sur la situation financière des clients et identifier les risques de dilution, de concentration ou de fraude - Analyser avec le responsable risques de crédit affacturage les variations des indicateurs - Définir et mettre au point des scores de risque avec les métiers affacturage et DRG pour piloter au plus près et en avance de phase le risque de solvabilité des clients et acheteurs en affacturage - Suivre les risques sectoriels et leurs évolutions - Participer au processus Watch List, Monitoring List et travailler en coopération avec les Affaires Spéciales du Groupe La Banque Postale et les autres intervenants de la Direction des Risques - Réaliser le contrôle de 2nd niveau du calcul des provisions IFRS 9 et analyser le coût du risque 2) Traiter l'analyse des dossiers de financement portant sur le portefeuille existant : - Mener les revues annuelles des contreparties communes ou non avec LBP - Traiter les demandes de modification sur les expositions existantes: - Analyser, sélectionner et synthétiser les informations ; - Rédiger la contre analyse ; - Proposer et présenter un avis sur la décision de crédit et de notation interne Au-delà de la maîtrise technique, de votre rigueur, de votre capacités d'analyse et de votre sens du résultat, ce qui compte réellement pour nous, c'est votre dynamisme et votre curiosité intellectuelle. Pour voir si on est fait pour s'entendre, on vous proposera d'abord un entretien avec le manager au cours duquel vous en apprendrez plus sur le poste. Ensuite, vous rencontrerez notre RH pour lui exprimer vos motivations puis vous réaliserez un test de personnalité afin de déterminer vos soft skills. Et si on décide de travailler ensemble, vous suivrez un processus d'intégration digitalisé et personnalisé. VOTRE FORMATION, VOS EXPÉRIENCES, AUTRE CHOSE ? Dans l'idéal, vous disposez d'au moins 3 ans d'expérience dans les services financiers, en affacturage ou en environnement bancaire, avec une pratique confirmée de la surveillance des risques dans le domaine de l'affacturage, et d'un diplôme de niveau Bac+5. Vous avez une appétence pour les outils de data analyse (power BI, SQL..). Vous maîtrisez les outils bureautiques Excel (tableaux croisés dynamique) et Powerpoint. Vous disposez d'une bonne connaissance des crédits spécialisés notamment de l'affacturage (des TPE aux Grands Comptes). Vous êtes également à l'aise avec les techniques d'analyse financière micro-économique, de la comptabilité ? Vous êtes décidément parfait(e) ! * Ce poste est proposé dans le cadre d'un remplacement pour un congé maternité. Banque citoyenne, La Banque Postale s'engage en faveur de la diversité et de l'égalité des chances pour donner accès à tous ses métiers sans discrimination de genre, d'origine sociale ou culturelle, d'orientation sexuelle ou de handicap. Ces entreprises recrutent aussi au poste de “Services bancaires et prêts”. Conseiller Bancaire Renfort CDD- H/F - Jonzac BNP ParibasCDD / TemporaireParisTélétravail fréquentBanque183 883 collaborateursChargé de Financement PRO/ENT - FRANFINANCE - CDD Société GénéraleCDD / TemporaireLa DéfenseTélétravail fréquentBanque, FinTech / InsurTech119 000 collaborateursChargé de relations bancaires CDD (F/H) Groupe BPCECDD / TemporaireParisTélétravail fréquentBanque, FinTech / InsurTech100 000 collaborateursCDD - Expert.e services bancaires (crédits entreprises) Banque PalatineCDD / TemporaireFontenay-sous-BoisTélétravail non autoriséBanque, Finance1 126 collaborateursCDD - Collaborateur Recrouvrement (F/H) AXACDD / TemporaireParisTélétravail fréquentBanque, Assurance21 889 collaborateurs","['excel', 'power bi', 'sql']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
