Poste,Date de Soumission,État,Lien,Date de réponse,CV utilisé,Contact Email,Entreprise,Mois,Catégorie Poste
Data Analyst Environnement,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/inex-circular/jobs/data-analyst-environnement-cdi_paris_IC_y4Y4m9Z,,CV2,,Inex Circular,7.0,Data Analyst
Data Engineer Junior,2025-07-31,Candidature envoyée,https://apply.workable.com/singulier/j/C258FD86BC/?utm_source=linkedin.com,,CV2,,Singulier,7.0,Data Engineer
Data Analyst,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/arcep/jobs/data-analyst-f-h_paris-cedex-12,,CV2,,ARCEP,7.0,Data Analyst
Data scientist,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/viginum/jobs/data-scientist-h-f_paris_VIGIN_JXMLeyG,,CV2,,Viginum,7.0,Data Scientist
Data Scientist - Artifical Intelligence Project (F/H) - CDD de 8 mois,2025-07-31,Refus,https://ekez.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/fr/sites/CX/job/17590?utm_medium=jobboard&utm_source=welcome_to_the_jungle,2025-08-01,CV2,,Natixis,7.0,Data Scientist
"Data Quality Specialist, AI Tutor - Paris (Fixed term)",2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/data-quality-specialist-ai-tutor-paris-fixed-term_paris,,CV2,,Mistral AI,7.0,Autre
CDI - Data Analyst - Petit Bateau !,2025-07-31,Candidature envoyée,https://www.linkedin.com/jobs/view/4274098673/?trackingId=wcRb8UN8HA36HegkAKmh8g%3D%3D&refId=ByteString%28length%3D16%2Cbytes%3Deff4dac8...51d36b3d%29&midToken=AQF6cDKQRpkL-Q&midSig=206-DBIVMD3HU1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_7877805114-null-5mjdi4~mdraxyrq~40-null-null&eid=5mjdi4-mdraxyrq-40&otpToken=MTEwMTFlZTExYTI4Y2FjZGIyMjQwNGVkNDMxZGVlYjI4ZmM5ZDU0NTlhYTc4NzYxNzhjZTA4Njg0ZjU5NWFmNmY0ZGY4Y2FhMTRjNGMwZjY3Zjg4NmNiNDMxMDQ5Yjc0YmQ0ZjJjNDQwMTg2N2VmODlmY2IsMSwx,,CV2,,Petit Bateau,7.0,Data Analyst
Assistant Gestion Référentiels et Outils H/F,2025-07-31,Candidature envoyée,https://jobs.totalenergies.com/en_US/careers/ApplicationMethods?jobId=69339&source=Welcome+To+The+Jungle#,,CV2,,Total Energies,7.0,Autre
Gestionnaire de données GED,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/resah/jobs/stagiaire-accompagnement-a-la-reprise-de-donnees-d-une-ged-sharepoint_paris,,CV3,,RESAH,7.0,Autre
CDD - Analyste Surveillance des Engagements F/H,2025-07-31,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/la-banque-postale/jobs/cdd-analyste-surveillance-des-engagements-f-h_paris-15e-arrondissement,,CV3,,La Banque Postale,7.0,Data Analyst
Quantitive Analyst,2025-07-23,Candidature envoyée,https://la-french-tech.welcomekit.co/companies/alma/jobs/quantitative-analyst_paris_ALMA_6Lx9z3V,,CV1,,Alma,7.0,Autre
Business Analyst,2025-07-23,Candidature envoyée,https://www.recrutement.groupem6.fr/Pages/Offre/detailoffre.aspx?idOffre=2187&idOrigine=2912&LCID=1036&offerReference=2025-2187,,CV1,,Groupe M6,7.0,Data Analyst
Distribution Planner,2025-07-23,Refus,https://www.welcometothejungle.com/fr/companies/cabaia/jobs/distribution-planner-cdi_paris_CABAI_5MeKOwO,2025-07-25,CV1,,Cabaia,7.0,Autre
Chargé(e) de mission environnement,2025-07-23,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/vinci-energies/jobs/charge-de-mission-environnement-f-h_nanterre_VEEF_VRVy7p,,CV1,,Vincie Energies,7.0,Autre
Data Steward,2025-07-23,Candidature envoyée,https://jobs.smartrecruiters.com/GroupementLesMousquetaires3/744000070714466-cdi-data-steward-h-f?sid=9fa97eed-f39f-400a-9fc4-128b3ed356c4,,CV1,,Groupement Mousquetaires,7.0,Autre
Responsable Data Seconde Main,2025-07-23,Candidature envoyée,https://www.welcometothejungle.com/fr/companies/kiabi/jobs/data-lead-h-f-nb-cdi_paris_KIABI_78jrkyd,,CV2,,Kiabi - Beebs,7.0,Autre
Data Analyst,2025-07-23,Refus,https://www.welcometothejungle.com/fr/companies/coallia/jobs/data-analyst-h-f_paris,2025-07-24,CV2,,Coallia,7.0,Data Analyst
DATA STEWARD - H/F,2025-07-23,Candidature envoyée,https://inserm.softy.pro/offre/170824-data-steward-h-f,,CV2,,Insern,7.0,Autre
